date;Tn;Tx;Tavg;RH_avg;RR;ss;ff_x;ddd_x;ff_avg;cat_ddd;category_region;flood
02/01/2016;25,6;33,2;27;88;1,6;8,7;4;290;2;8;1;1
03/01/2016;24,4;34,9;28,1;80;33,8;5,4;4;280;2;7;1;1
06/01/2016;25;33,6;28,9;80;3,8;3,6;4;190;2;1;1;0
12/01/2016;26,2;31,2;26;93;11,5;5,7;3;50;1;5;1;1
13/01/2016;24,8;33,3;26,3;92;36,3;0,9;3;270;1;1;1;0
14/01/2016;25;33,8;28,5;84;4,4;3,7;3;40;2;1;1;0
16/01/2016;25,4;33,6;28,6;82;0,6;3,9;2;60;1;3;1;0
18/01/2016;25,4;34;28,5;81;4,5;6,8;4;280;2;8;1;0
19/01/2016;25,6;33,8;27,4;89;3,4;3,1;4;250;2;8;1;0
20/01/2016;25,6;33,4;27,8;87;0,9;4,6;4;260;2;8;1;1
21/01/2016;25,8;31,4;27,7;86;0,3;1,6;2;260;1;7;1;0
22/01/2016;26,4;32;28,7;84;0,1;0,8;4;300;2;8;1;0
23/01/2016;23,8;30,6;26,2;88;13,9;0,7;4;130;2;6;1;0
24/01/2016;25;32,6;27,2;91;7,5;0,2;3;180;1;0;1;0
25/01/2016;23;31;25,5;96;56;1;2;120;1;0;1;0
26/01/2016;23;33;28,1;85;2;0;3;290;1;8;1;0
31/01/2016;25,2;33;27,9;82;0,4;1,7;3;260;2;8;1;1
02/02/2016;25;31,6;27,5;89;26,5;2,3;5;280;3;8;1;1
05/02/2016;25,6;34,6;28,4;84;7,7;0,6;5;260;2;8;1;0
07/02/2016;26,8;33,2;27,9;86;0,5;7,8;4;250;2;8;1;0
08/02/2016;25,6;31,9;26,7;92;27,5;4,2;4;280;2;8;1;0
09/02/2016;24,4;33;27,1;88;23,7;3,8;4;260;2;8;1;0
10/02/2016;24,8;29,6;26,4;90;10;4,6;4;280;2;8;1;1
12/02/2016;24,6;30,8;27;88;9,7;0,7;4;250;1;0;1;1
13/02/2016;24,4;33,6;28,2;84;23;1,6;3;290;1;1;1;1
14/02/2016;25;34,2;27,2;89;0,5;1,6;4;270;1;1;1;1
15/02/2016;24,4;34,6;28,1;85;10;5,5;5;260;2;8;1;1
17/02/2016;24,6;30,4;26,6;89;8,5;1;3;270;1;5;1;0
18/02/2016;24,8;33;27,4;86;2;0,5;4;280;2;7;1;0
19/02/2016;25,4;32,4;28,3;82;0,4;8;4;100;2;8;1;1
22/02/2016;26;32,2;28,4;85;1;3,1;4;280;2;8;1;0
26/02/2016;24,2;32,2;27,1;85;34;2,3;4;270;1;8;1;1
27/02/2016;25,2;35;28,4;78;0,8;2,5;3;180;2;8;1;1
